#,URL Rating (desc),Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,Type,TextPre,Link Anchor,TextPost,HTTP Code,DP check,RP check,
844,14,https://www.iii.org/insuranceindustryblog/pride-round-up-2011/,"Pride Round-Up 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",238,15,http://www3.law.ucla.edu/williamsinstitute/pdf/Census2010Snapshot_Hawaii.pdf,Dofollow,"Washington D.C., and Puerto Rico. New this week: Alabama and",Hawaii,. The 2010 U.S. Census is the first to report,Cannot resolve host,2020-04-16 15:25:11,2020-03-11T20:28:11Z,
844,14,https://www.iii.org/insuranceindustryblog/pride-round-up-2011/,"Pride Round-Up 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",238,15,https://www.hrc.org/CEI2011/,Dofollow,"workplace protections and benefits for LGBT people, according to the",Human Rights Campaign FoundationÃ¢â‚¬â„¢s 2011 Corporate Equality Index (CEI),. The CEI rates employers on a scale from 0,404,2020-03-18 08:11:03,2020-03-11T20:28:11Z,
845,14,https://www.iii.org/insuranceindustryblog/category/emerging-risks/page/18/,"Emerging Risks | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 18",262,46,http://www.affiniongroupmedia.com/releases/autovantage/autovantage_may_15_07.html,Dofollow,"drivers, according to a survey by national auto club",AutoVantage,. The other two cities with the worst road rage,404,2020-04-07 18:53:18,2020-03-13T18:14:42Z,
845,14,https://www.iii.org/insuranceindustryblog/category/emerging-risks/page/18/,"Emerging Risks | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 18",262,46,http://www.aceeuropeangroup.com/AceEuropeRoot/,Dofollow,conducted by the Economist Intelligence Unit (EIU) and sponsored by,ACE European Group,(ACE) found that one in three global businesses see loss,404,2020-04-02 20:35:02,2020-03-13T18:14:42Z,
845,14,https://www.iii.org/insuranceindustryblog/category/emerging-risks/page/18/,"Emerging Risks | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 18",262,46,http://www.aceeuropeangroup.com/AceEuropeRoot/Media+Centre/Press+Releases/2007/ACE+Survey+Shows+Data+Loss+Is+Top+Operational+Threat.htm,Dofollow,"data stolen, according to news reports . Indeed, a recent",risk survey,conducted by the Economist Intelligence Unit (EIU) and sponsored by,404,2020-04-01 01:38:19,2020-03-13T18:14:42Z,
846,14,https://www.iii.org/insuranceindustryblog/tag/sustainable-business/,"Sustainable business | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",233,6,https://www.weforum.org/focus/the-fourth-industrial-revolution,Dofollow,the adoption of automated and/or augmented intelligence to a “,4th industrial revolution,.” Uniform standards—Stevenson’s railroad gauges and Whitney’s use of interchangeable parts—helped,404,2020-04-10 05:50:23,2020-03-20T23:50:41Z,
847,14,https://www.iii.org/insuranceindustryblog/climate-change-initiatives/,"Climate Change Initiatives | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",236,11,http://www.munichre.com/en/press/press_releases/2008/2008_10_06_press_release.aspx,Dofollow,In another initiative,Munich Re,is collaborating with the London School of Economics (LSE) to,404,2020-03-30 07:16:44,2020-03-09T13:36:25Z,
847,14,https://www.iii.org/insuranceindustryblog/climate-change-initiatives/,"Climate Change Initiatives | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",236,11,https://www.ucar.edu/news/releases/2008/hurricanemodel.jsp,Dofollow,focus for our industry. In the first of these the,National Center for Atmospheric Research (NCAR),working with federal agencies and universities as well as the,404,2020-02-03 22:46:04,2020-03-09T13:36:25Z,
848,14,https://www.iii.org/insuranceindustryblog/nat-cat-activity-continues-apace/,"Nat Cat Activity Continues Apace | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",244,9,https://www.rms.com/Catastrophe/Catupdates,Dofollow,the world have continued apace. In recent weeks weÃ¢â‚¬â„¢ve seen,"severe floods in Pakistan and China and Central Europe, forest fires in Russia, as well as the first hurricane of the Atlantic season here in the U.S.",,404,2020-04-02 23:54:28,2020-03-28T19:53:50Z,
849,14,https://www.iii.org/insuranceindustryblog/tag/motorcycle-crashes/,"Motorcycle Crashes | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",236,10,http://www.us.dot.gov/,Dofollow,"a leading cause of death in motorcycle crashes, says the",U.S. Department of Transportation,.,Cannot resolve host,2020-03-16 07:49:16,2020-04-09T17:10:10Z,
850,14,https://www.iii.org/insuranceindustryblog/2009/09/page/2/,"September | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",272,40,http://www.rvs-monte-carlo.com/main.php,Dofollow,gathered in Monte Carlo this past weekend for the sectorÃ¢â‚¬â„¢s,2009 September Rendezvous,and a number of new reports and commentaries on the,404,2020-03-27 08:08:03,2020-04-07T09:47:03Z,
850,14,https://www.iii.org/insuranceindustryblog/2009/09/page/2/,"September | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",272,40,https://www.gccapitalideas.com/2009/09/07/guy-carpenter’s-2009-world-catastrophe-report-finds-rates-rising-as-industry-rides-out-financial-crisis/,Dofollow,market are in circulation. HereÃ¢â‚¬â„¢s a few of the highlights.,Guy Carpenter,finds reinsurance rates increasing by an average eight percent through,404,2020-03-26 19:58:48,2020-04-07T09:47:03Z,
851,14,https://www.iii.org/insuranceindustryblog/category/thunderstorms/page/2/,"Thunderstorms | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",276,57,https://www.swissre.com/media/news_releases/nr_20140826_sigma_prelim_cat_estimates.html,Dofollow,"losses in the first half of 2014, according to just-released",Swiss Re sigma estimates,.,404,2020-04-09 02:59:35,2020-03-29T12:30:31Z,
851,14,https://www.iii.org/insuranceindustryblog/category/thunderstorms/page/2/,"Thunderstorms | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",276,57,https://www.nhregister.com/articles/2013/07/01/news/doc51d1e81a19478786975116.txt,Dofollow,,An EF-1 tornado is also confirmed to have touched down in Connecticut,"yesterday, causing property damage.",404,2020-03-11 15:36:02,2020-03-29T12:30:31Z,
852,14,https://www.iii.org/es/press-release/los-sistemas-de-pararrayos-son-clave-para-prevenir-los-incendios-100510,Los sistemas de pararrayos son clave para prevenir los incendios | III,71,11,https://www.nfpa.org/index.asp?cookie_test=1,Dofollow,"(UL), el LPI o por la",National Fire Protection Association,(NFPA).,404,2020-04-14 14:46:20,2020-04-07T02:06:51Z,
852,14,https://www.iii.org/es/press-release/los-sistemas-de-pararrayos-son-clave-para-prevenir-los-incendios-100510,Los sistemas de pararrayos son clave para prevenir los incendios | III,71,11,https://www.ul.com/global/eng/pages/,Dofollow,de acuerdo con los estándares de seguridad reconocidos nacionalmente por,Underwriters Laboratories,"(UL), el LPI o por la",404,2020-04-05 07:40:20,2020-04-07T02:06:51Z,
853,14,https://www.iii.org/insuranceindustryblog/tag/epl-insurance/,"EPL Insurance | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",237,12,https://www.instituteforlegalreform.com/today-in-legal-reform/37-ilr-spotlight/142-employment-litigation-to-be-featured-at-legal-reform-summit.html,Dofollow,"Meanwhile,",the Institute for Legal Reform (ILR) reports,that employment litigation will continue to make headlines this fall,404,2020-03-21 00:01:55,2020-03-10T11:47:24Z,
854,14,https://www.iii.org/insuranceindustryblog/2010/09/page/3/,"September | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 3",242,11,https://www.ready.gov/america/beinformed/hurricanes.html,Dofollow,"of Surf City, North Carolina to Parramore Island, Virginia) to",make their storm preparations now,.,404,2020-04-07 06:40:05,2020-03-11T04:20:23Z,
855,14,https://www.iii.org/press-release/media-advisory-iii-issues-video-on-protecting-homes-from-lightning-strikes-062410,MEDIA ADVISORY: I.I.I. Issues Video On Protecting Homes From Lightning Strikes | III,66,13,https://www.nfpa.org/index.asp?cookie_test=1,Dofollow,", the",National Fire Protection Association,", and Underwriters’ Laboratories are cited by the I.I.I. as",404,2020-04-14 14:46:20,2020-03-26T18:55:13Z,
855,14,https://www.iii.org/press-release/media-advisory-iii-issues-video-on-protecting-homes-from-lightning-strikes-062410,MEDIA ADVISORY: I.I.I. Issues Video On Protecting Homes From Lightning Strikes | III,66,13,https://www.ul.com/global/eng/pages/,Dofollow,", the National Fire Protection Association , and",Underwriters’ Laboratories,are cited by the I.I.I. as leaders in the area,404,2020-04-05 07:40:20,2020-03-26T18:55:13Z,
856,14,https://www.iii.org/insuranceindustryblog/tag/corporate-equality-index/,"Corporate Equality Index | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",236,51,https://www.floridablue.com/wps/portal/bcbsfl,Dofollow,"are: AAA Northern California, Nevada and Utah , AIG ,",Blue Cross Blue Shield of Florida,", Chubb Corp , Hartford Financial Services Group ,",404,2020-04-05 09:24:18,2020-03-22T12:34:48Z,
857,14,https://www.iii.org/press-release/lightning-protection-systems-offer-a-key-form-of-fire-prevention-100410,Lightning Protection Systems Offer A Key Form Of Fire Prevention | III,64,12,https://www.ul.com/global/eng/pages/,Dofollow,stresses the importance of consumers contracting with qualified and experienced,Underwriters Laboratories,(UL)-listed and LPI-certified specialists who are trained to install systems,404,2020-04-05 07:40:20,2020-04-08T03:26:25Z,
858,14,https://www.iii.org/press-release/believing-lightning-myths-is-dangerous-especially-in-florida-get-the-facts-to-protect-yourself-and-your-property-061511,"Believing Lightning Myths Is Dangerous, Especially In Florida; Get The Facts To Protect Yourself And Your Property | III",65,16,http://disastersafety.org/main?execution=e1s1,Dofollow,,IBHS,,404,2020-03-19 09:34:01,2020-04-01T17:56:30Z,
859,14,https://www.iii.org/insuranceindustryblog/tag/earl/,"Earl | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",248,18,https://www.ready.gov/america/beinformed/hurricanes.html,Dofollow,"of Surf City, North Carolina to Parramore Island, Virginia) to",make their storm preparations now,.,404,2020-04-07 06:40:05,2020-03-26T09:19:05Z,
860,14,https://www.iii.org/insuranceindustryblog/category/sports/page/2/,"Sports | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",268,62,http://actasports.com/sows.php,Dofollow,at the prediction of sports statistician John Dewan. In his,Stat of the Week,", the owner of Baseball Info Solutions and co-publisher of",404,2020-04-11 13:31:40,2020-03-25T09:29:42Z,
860,14,https://www.iii.org/insuranceindustryblog/category/sports/page/2/,"Sports | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",268,62,http://www.munichre.com/en/reinsurance/topics-online/2012/03/olympic-games/default.aspx,Dofollow,,"Munich Re carries a substantial portion of this risk. If the Games were called off, Munich Re would provide cover of around Ã¢”š ¬350 million [$425.5 million] through several policies. Guaranteeing this amount of cover requires not just financial strength, but also the necessary expertise to allow the risk to be assessed and managed in the best possible way.”",,404,2020-04-11 01:29:40,2020-03-25T09:29:42Z,
860,14,https://www.iii.org/insuranceindustryblog/category/sports/page/2/,"Sports | The trusted source of unique, data-driven insights on insurance to inform and empower consumers. | Page 2",268,62,https://www.bostonglobe.com/metro/2013/04/15/three-killed-more-than-injured-marathon-blast/QQOiYNU2n1vt1Xul3BXVsL/story.html,Dofollow,,The Boston Globe reports,that much of Back Bay is locked down to protect,404,2020-04-09 20:03:50,2020-03-25T09:29:42Z,
